geoplugin_request,geoplugin_status,geoplugin_delay,geoplugin_credit,geoplugin_city,geoplugin_region,geoplugin_regionCode,geoplugin_regionName,geoplugin_areaCode,geoplugin_dmaCode,geoplugin_countryCode,geoplugin_countryName,geoplugin_inEU,geoplugin_euVATrate,geoplugin_continentCode,geoplugin_continentName,geoplugin_latitude,geoplugin_longitude,geoplugin_locationAccuracyRadius,geoplugin_timezone,geoplugin_currencyCode,geoplugin_currencySymbol,geoplugin_currencySymbol_UTF8,geoplugin_currencyConverter
104.237.80.15,206,0ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",,,,,,,US,United States,0,False,NA,North America,37.751,-97.822,1000,America/Chicago,USD,$,$,0.0
104.237.80.150,206,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",,,,,,,US,United States,0,False,NA,North America,37.751,-97.822,1000,America/Chicago,USD,$,$,0.0
104.237.80.151,206,2ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",,,,,,,US,United States,0,False,NA,North America,37.751,-97.822,1000,America/Chicago,USD,$,$,0.0
104.237.80.157,206,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",,,,,,,US,United States,0,False,NA,North America,37.751,-97.822,1000,America/Chicago,USD,$,$,0.0
104.237.80.158,206,2ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",,,,,,,US,United States,0,False,NA,North America,37.751,-97.822,1000,America/Chicago,USD,$,$,0.0
104.237.80.16,206,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",,,,,,,US,United States,0,False,NA,North America,37.751,-97.822,1000,America/Chicago,USD,$,$,0.0
104.237.80.167,206,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",,,,,,,US,United States,0,False,NA,North America,37.751,-97.822,1000,America/Chicago,USD,$,$,0.0
104.237.80.21,206,2ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",,,,,,,US,United States,0,False,NA,North America,37.751,-97.822,1000,America/Chicago,USD,$,$,0.0
104.237.80.24,206,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",,,,,,,US,United States,0,False,NA,North America,37.751,-97.822,1000,America/Chicago,USD,$,$,0.0
104.237.80.25,206,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",,,,,,,US,United States,0,False,NA,North America,37.751,-97.822,1000,America/Chicago,USD,$,$,0.0
104.237.80.31,206,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",,,,,,,US,United States,0,False,NA,North America,37.751,-97.822,1000,America/Chicago,USD,$,$,0.0
104.237.80.34,206,1ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",,,,,,,US,United States,0,False,NA,North America,37.751,-97.822,1000,America/Chicago,USD,$,$,0.0
104.237.80.36,206,0ms,"Some of the returned data includes GeoLite data created by MaxMind, available from <a href='http://www.maxmind.com'>http://www.maxmind.com</a>.",,,,,,,US,United States,0,False,NA,North America,37.751,-97.822,1000,America/Chicago,USD,$,$,0.0
